der	Herr	Herren	man	1
die	Frau	Frauen	woman	1
der	Name	Namen	name	1
der	Vorname	Vornamen	first name	1
der	Familienname	Familiennamen	surname	1
das	Land	Länder	country	1
das	Alphabet	Alphabete	alphabet	1
das	Kind	Kinder	child	2
das	Jahr	Jahre	year	2
der	Verkäufer	Verkäufer	seller (male)	2
die	Verkäuferin	Verkäuferinnen	seller (female)	2
der	Sekretär	Sekretäre	secretary (male)	2
die	Sekretärin	Sekretärinnen	secretary (female)	2
der	Schüler	Schüler	pupil (male)	2
die	Schülerin	Schülerinnen	pupil (female)	2
der	Schauspieler	Schauspieler	actor	2
die	Schauspielerin	Schauspielerinnen	actress	2
der	Student	Studenten	student (male)	2
die	Studentin	Studentinnen	student (female)	2
der	Mechatroniker	Mechatroniker	mechatronics engineer (male)	2
die	Mechatronikerin	Mechatronikerinnen	mechatronics engineer (female)	2
der	Lehrer	Lehrer	teacher (male)	2
die	Lehrerin	Lehrerinnen	teacher (female)	2
die	Krankenschwester	Krankenschwestern	nurse (female)	2
der	Kellner	Kellner	waiter	2
die	Kellnerin	Kellnerinnen	waitress	2
der	Journalist	Journalisten	journalist (male)	2
die	Journalistin	Journalistinnen	journalist (female)	2
der	Ingenieur	Ingenieure	engineer (male)	2
die	Ingenieurin	Ingenieurinnen	engineer (female)	2
der	Friseur	Friseure	hair stylist (male)	2
die	Friseurin	Friseurinnen	hair stylist (female)	2
der	Arzt	Ärzte	doctor (male)	2
die	Ärztin	Ärztinnen	doctor (female)	2
der	Architekt	Architekten	architect (male)	2
die	Architektin	Architektinnen	architect (female)	2
die	Stelle	Stellen	job position	2
die	Schule	Schulen	school	2
das	Praktikum	Praktika	internship	2
der	Job	Jobs	job	2
die	Hochschule	Hochschulen	university	2
die	Universität	Universitäten	university	2
der	Beruf	Berufe	job/profession	2
die	Ausbildung	Ausbildungen	apprenticeship	2
der	Arbeitgeber	Arbeitgeber	employer (male)	2
die	Arbeitgeberin	Arbeitgeberinnen	employer (female)	2
das	Bett	Betten	bed	4
das	Bild	Bilder	image/picture	4
die	Lampe	Lampen	lamp	4
der	Schrank	Schränke	closet	4
der	Sessel	Sessel	armchair	4
das	Sofa	Sofas	sofa	4
die	Couch	Couchs/Couches/Couchen	couch	4
der	Stuhl	Stühle	chair	4
der	Tisch	Tische	table	4
der	Teppich	Teppiche	carpet	4
der	Euro	Euros	euro	4
der	Cent	Cents	cent	4
der	Preis	Preise	price	4
das	Angebot	Angebote	offer	4
das	Sonderangebot	Sonderangebote	special offer	4
die	Hilfe	Hilfen	help	4
das	Zimmer	Zimmer	room	4
die	Familie	Familien	family	3
der	Vater	Väter	father	3
die	Mutter	Mütter	mother	3
der	Sohn	Söhne	son	3
die	Tochter	Töchter	daughter	3
der	Großvater	Großväter	grandfather	3
der	Opa	Opas	grandpa	3
die	Großmutter	Großmütter	grandmother	3
die	Oma	Omas	grandma	3
der	Enkel/Enkelsohn	Enkel/Enkelsöhne	grandson	3
die	Enkelin/Enkeltochter	Enkelinnen/Enkeltöchter	granddaughter	3
das	Enkelkind	Enkelkinder	grandchild	3
der	Bruder	Brüder	brother	3
die	Schwester	Schwestern	sister	3
der	Ehemann/Mann	Ehemänner/Männer	husband/man	3
die	Ehefrau/Frau	Ehefrauen/Frauen	wife/woman	3
die	Sprache	Sprachen	language	3
der	Freund	Freunde	friend (male)/boyfriend	3
die	Freundin	Freundinnen	friend (female)/girlfriend	3
der	Kollege	Kollegen	colleague (male)/co-worker (male)	3
die	Kollegin	Kolleginnen	colleague (female)/co-worker (female)	3
der	Partner	Partner	partner (male)	3
die	Partnerin	Partnerinnen	partner (female)	3
die	Farbe	Farben	colour	5
die	Form	Formen	shape	5
das	Material	Materialen	material	5
der	Bleistift	Bleistifte	pencil	5
die	Brille	Brillen	eyeglasses	5
die	Flasche	Flaschen	bottle	5
das	Feuerzeug	Feuerzeuge	lighter	5
der	Fotoapparat	Fotoapparate	camera	5
die	Kette	Ketten	chain/necklace	5
der	Kugelschreiber	Kugelschreiber	pen	5
die	Tasche	Taschen	bag	5
der	Regenschirm/Schirm	Regenschirme/Schirme	umbrella	5
der	Ring	Ringe	ring	5
das	Streichholz	Streichhölzer	match	5
die	Geldbörse	Geldbörsen	wallet	5
die	Seife	Seifen	soap	5
das	Buch	Bücher	book	5
die	Zeitung	Zeitungen	newspaper	5
die	Adresse	Adressen	address	5
das	Fax	Faxe	fax	5
das	Geburtsdatum	Geburtsdaten	date of birth	5
die	Hausnummer	Hausnummern	house number	5
die	Nummer	Nummern	number	5
der	Ort	Orte	place	5
die	Postleitzahl	Postleitzahlen	post code	5
die	Straße	Straßen	road	5
die	Menge	Mengen	amount	5
das	Problem	Probleme	problem	5
das	Produkt	Produkte	product	5
das	Wort	Wörter	word	5
das	Wörterbuch	Wörterbücher	dictionary	5
die	Wohnung	Wohnungen	flat/appartment	
die	Blume	Blumen	flower	
der	Hund	Hunde	dog	
die	Tasse	Tassen	cup	
der	Rock	Röcke	skirt	
der	Schlüssel	Schlüssel	key	5
das	Haus	Häuser	house	
der	Stadtplan	Stadtpläne	map	
die	Landkarte	Landkarten	map	
